id,shop_name,customer since,orders,num_order
97,Twinte,2,2131542,7
98,Riffwire,2,2503546,19
99,Blognation,3,3852211,18
100,Talane,1,3668589,3
101,Talane,3,2883819,9
102,Mita,1,1307372,19
103,Fadeo,3,3592229,20
104,Oyondu,3,4667451,3
105,Skynoodle,3,259865,13
106,Kwinu,2,3165130,12
107,Youopia,1,373027,10
108,Yambee,3,2837507,8
109,Lazzy,1,1932021,11
110,Ainyx,2,4019481,11
111,Voomm,1,2355630,10
112,Edgetag,3,755667,17
113,Skynoodle,2,4024325,5
114,Wikido,2,3213863,13
115,Eayo,3,1228520,11
116,Blogpad,2,4101439,19
117,Topdrive,2,1807987,7
118,Thoughtworks,2,962245,2
119,Tagpad,2,1596648,9
120,Yambee,3,2405722,3
121,Gabcube,3,4157678,5
122,Jazzy,1,1424238,18
123,Yakijo,1,2169299,1
124,Shuffletag,1,2456465,5
125,Zooveo,2,3371348,17
126,Cogilith,1,21460,5
127,Podcat,1,3577424,3
128,Edgepulse,3,3460680,1
129,Dabfeed,3,2828246,12
130,Twitterbridge,3,4858884,20
131,Kayveo,1,2899854,11
132,Edgeclub,1,271119,9
133,Tagtune,1,1668815,17
134,Fadeo,3,4013316,18
135,Katz,2,1308966,3
136,Zoozzy,2,1683128,12
137,Eimbee,2,3611852,18
138,Mynte,1,4201058,11
139,Avamm,3,2674111,18
140,Edgetag,1,3591733,19
141,Twinte,3,1641775,16
142,Dablist,2,4839243,8
143,InnoZ,1,1266101,19
144,Zoonder,2,3489179,11
145,Kwimbee,3,4962080,15
146,Skidoo,1,4091556,2
147,Brainlounge,2,3005815,11
148,Babbleopia,1,2487955,4
149,Pixonyx,2,2535400,18
150,Topiczoom,3,695351,4
151,Skimia,1,2180665,1
152,Quimba,2,2167657,16
153,Vipe,3,256592,17
154,Plajo,2,4896724,15
155,Zoozzy,2,2402716,4
156,Edgewire,1,751372,16
157,Skinix,3,1031976,19
158,Riffwire,3,3736601,7
159,Quaxo,2,3650212,8
160,Ntags,1,194742,13
161,Zooveo,1,3737630,18
162,Thoughtstorm,3,2062286,2
163,Rooxo,3,526960,2
164,Talane,2,1414407,15
165,Yozio,1,4195507,13
166,Yata,2,158333,5
167,Eimbee,2,3940107,18
168,Skipfire,3,3491758,4
169,Babbleopia,2,744372,10
170,Photobean,1,3426133,13
171,Wordtune,2,639144,15
172,Yotz,2,739906,12
173,Tazzy,1,1307739,14
174,Divanoodle,3,1902862,8
175,Oyoyo,2,2308521,8
176,Skyble,3,751692,7
177,Quimba,1,2574199,15
178,Innotype,1,3651502,2
179,Avaveo,3,3992018,4
180,Layo,3,1198264,19
181,Zoombox,3,1549886,14
182,Meetz,3,939066,12
183,Jaxspan,3,3654897,19
184,Zooxo,1,45813,9
185,Quire,2,2431782,4
186,Avaveo,2,4261807,19
187,Skiptube,3,1980952,16
188,Dynabox,2,241807,2
189,Brainsphere,1,2553444,17
190,Yozio,2,1324307,8
191,Jabbersphere,3,1285221,2
192,Yamia,1,649391,17
193,Topiczoom,2,2468687,2
194,Browsezoom,2,4029351,8
195,Npath,1,2802254,10
196,Gabcube,3,780859,7
197,Muxo,1,529903,10
198,Zoombox,2,1318728,16
199,LiveZ,3,59839,5
200,Skipfire,1,3722899,20
201,Oyoyo,1,4386441,6
202,Innotype,3,1797837,3
203,Blogtags,3,4566016,16
204,Jayo,2,1808290,17
205,Buzzshare,3,3561257,9
206,Midel,3,48047,11
207,Browsebug,1,2870701,9
208,Jaxspan,1,2488198,10
209,Minyx,3,1373200,15
210,Skilith,2,188683,15
211,Eamia,2,767745,6
212,Quamba,1,477415,12
213,Gabtype,1,3135170,8
214,Eazzy,2,3748214,20
215,Mybuzz,3,3317809,10
216,Twitterbridge,3,2280718,9
217,Mydo,3,4050483,8
218,Eazzy,2,3501799,14
219,Trudoo,2,4833994,1
220,Linkbuzz,3,2479216,19
221,Plambee,3,216695,19
222,Trunyx,2,1629738,12
223,Flashspan,1,4107670,16
224,Devshare,3,1185733,8
225,Quaxo,3,1282666,14
226,Avamm,2,62941,15
227,Photofeed,1,2740830,17
228,Buzzdog,3,749677,13
229,Dynava,1,2669241,5
230,Reallinks,1,104529,7
231,Zoovu,3,211579,4
232,Pixoboo,2,4448513,2
233,Babblestorm,2,4950665,10
234,Skalith,2,263459,12
235,Rhycero,3,1623809,2
236,Mymm,1,1248472,12
237,Quaxo,1,4673662,8
238,Dazzlesphere,2,13661,20
239,Brainbox,1,4310330,7
240,Quire,2,594116,20
241,Aimbo,2,3545406,8
242,Twitterlist,3,3544290,6
243,Twitterbridge,2,4516858,9
244,Browsetype,1,509450,10
245,Yabox,3,3899864,9
246,Vinte,3,2309467,8
247,Jetpulse,3,1422573,11
248,Blognation,2,338289,12
249,Realbuzz,1,2957873,19
250,Jayo,1,2319406,20
251,Realcube,1,1498273,3
252,Livepath,1,35333,20
253,Trilia,3,3604886,19
254,Wordpedia,1,3173417,3
255,Nlounge,3,3343266,6
256,Dynazzy,3,3189314,12
257,Livefish,2,101680,18
258,Thoughtmix,1,239948,1
259,Livefish,1,341845,11
260,Fatz,3,2441796,19
261,Voolia,2,1365081,18
262,Livetube,3,1729658,7
263,Yodoo,3,3007979,17
264,Thoughtstorm,2,1329941,16
265,Yakidoo,1,775119,14
266,Tagcat,2,731680,5
267,Flashdog,3,2035539,6
268,Jabbersphere,2,1333568,3
269,Fadeo,3,786471,13
270,Skynoodle,3,4573882,15
271,Centizu,3,1998905,7
272,Flashdog,3,1237584,17
273,Browsebug,3,653945,15
274,Brainsphere,1,1216140,17
275,Minyx,3,2440979,5
276,LiveZ,3,2476540,2
277,Fivespan,3,1200681,7
278,Topicware,2,4698310,20
279,Voomm,1,781215,4
280,Quire,1,4566176,17
281,Realmix,1,2650038,18
282,Voonix,2,2359680,14
283,Agimba,1,3287241,18
284,Photospace,2,1743291,4
285,Katz,1,1037598,2
286,Shufflebeat,3,3683743,3
287,Quire,1,3372308,3
288,Mydo,3,2233151,18
289,Kayveo,3,3362232,9
290,Brightdog,3,2975937,7
291,Photojam,2,4912663,6
292,Edgeblab,1,1740403,3
293,Linktype,3,2527719,5
294,LiveZ,3,3214045,18
295,Zoomzone,1,4980991,20
296,Mydeo,2,2349960,10
297,Gabtune,1,2829454,8
298,Dynazzy,1,3960414,3
299,Skinix,1,1137787,16
300,Meemm,2,4469041,4
301,Topicware,1,211267,2
302,Youtags,1,3019108,3
303,Oloo,1,1541047,11
304,Brightbean,3,4583191,9
305,Vinder,3,3929241,7
306,Kwinu,3,3733272,15
307,Dazzlesphere,1,2730515,16
308,Dynazzy,3,4000794,15
309,Flipstorm,1,2180172,5
310,Ozu,2,3851461,15
311,Thoughtblab,2,2631093,20
312,Zoombeat,2,2239115,6
313,Skaboo,2,4764919,15
314,Voomm,1,1190587,15
315,Bluejam,3,483606,13
316,Skinix,3,1327088,19
317,Youspan,2,3122147,19
318,Blogspan,2,3461127,1
319,Bluezoom,2,394300,11
320,Izio,2,2719134,18
321,Skidoo,1,2080337,13
322,Jamia,2,998226,7
323,Topicware,2,2762370,5
324,Dazzlesphere,3,967281,12
325,Realpoint,3,4446689,7
326,Linkbridge,2,2544005,12
327,Viva,1,4963232,6
328,Flashdog,3,4427667,14
329,Photobug,3,4617951,9
330,Demivee,1,558453,20
331,Centizu,2,1422926,19
332,Topiclounge,1,3554481,8
333,Flashset,1,4182142,2
334,Meemm,1,967879,19
335,Digitube,2,1551419,8
336,Kwinu,1,1300379,7
337,Oozz,2,3146655,12
338,Skynoodle,1,4698728,17
339,Flashset,1,182066,2
340,Blognation,1,878632,3
341,Eazzy,1,3446318,10
342,Aimbu,3,4833958,15
343,BlogXS,1,4583326,5
344,Jabberstorm,2,4911799,13
345,Twimm,3,2138946,11
346,Gevee,2,1253814,4
347,Youbridge,2,3323864,15
348,Mydo,1,4618660,11
349,Quatz,1,803542,14
350,Flipbug,3,940408,10
351,Ooba,2,2995727,13
352,Yozio,1,3068731,2
353,Dabshots,3,4877195,20
354,Blogspan,3,2820823,6
355,Gigabox,2,2809485,10
356,Jatri,3,1027570,4
357,Jaxspan,2,4193882,15
358,Zoomdog,2,1922934,18
359,Livetube,2,4743013,5
360,Jatri,2,2424552,11
361,Skinte,2,4449223,6
362,Meejo,1,73667,7
363,Yata,1,3770330,8
364,Ntags,2,3747824,10
365,Gabcube,3,2618542,6
366,Browsebug,2,4242669,9
367,Thoughtblab,1,307915,9
368,Babbleblab,1,2589293,6
369,Quinu,3,1533243,16
370,Demimbu,1,136666,8
371,Gevee,1,2351008,2
372,Gabspot,3,85859,8
373,Geba,3,1774363,8
374,Geba,2,2944089,6
375,Linkbridge,2,4930300,14
376,Rhynyx,2,1717785,15
377,Bluezoom,1,1946636,19
378,Realfire,2,2709868,12
379,Oozz,1,1623482,2
380,Blogtags,1,851116,10
381,Thoughtbridge,3,688106,14
382,Vidoo,3,2993466,1
383,Reallinks,2,2303335,8
384,Feedmix,1,3752589,7
385,Pixope,1,1796770,14
386,Dabshots,2,776336,1
387,Centidel,1,314332,3
388,Twitterlist,2,2274710,7
389,Fiveclub,3,3417507,7
390,Wikizz,2,3779884,11
391,Kwimbee,1,4265209,6
392,Leenti,3,1573501,7
393,Yozio,3,433130,7
394,Skyble,1,2918641,14
395,Devcast,2,3946014,7
396,Photospace,1,4797962,11
397,Skilith,2,1337913,14
398,Voonder,1,819353,9
399,Voomm,1,3135772,11
400,Dabshots,2,2741635,10
401,Browsetype,2,4891533,4
402,Gabtype,2,3206920,1
403,Demivee,2,420275,10
404,Viva,1,748789,13
405,Flashpoint,1,2801230,6
406,Talane,1,1221469,12
407,Flashdog,2,2086593,3
408,Zooxo,2,3375320,8
409,Dynava,3,1325473,15
410,Rooxo,3,4733006,5
411,Rhycero,3,1589718,13
412,Realfire,3,2485137,19
413,Jabbersphere,1,3668364,12
414,Feednation,1,27130,12
415,Eidel,2,3969554,11
416,Midel,3,4181513,17
417,Browsezoom,2,746807,18
418,Gigazoom,1,1365119,6
419,Gigabox,1,4388318,8
420,Vipe,2,2257628,14
421,Realbridge,2,321711,5
422,Voolia,2,4403781,12
423,Rhybox,3,418133,16
424,Trunyx,1,1541550,5
425,Skippad,3,987718,13
426,Dabvine,2,2794407,12
427,Trunyx,2,2635750,11
428,Flipbug,1,827414,7
429,Twitterwire,3,1483809,15
430,Tavu,1,1901988,5
431,Yabox,2,3554191,4
432,Yakijo,2,2388451,15
433,Riffpath,1,3216038,20
434,Quimm,2,4790084,8
435,Bluejam,2,1616418,19
436,Zoonoodle,1,3906958,5
437,Npath,2,1818801,9
438,Aivee,2,2952920,6
439,Twinte,1,3973631,8
440,Vinte,2,1026006,18
441,Zooxo,1,3221760,12
442,Muxo,1,4949385,2
443,Topicblab,3,2058182,4
444,Devcast,1,1970584,19
445,Skimia,3,599336,13
446,Chatterpoint,3,793082,20
447,Zoomcast,2,1697324,13
448,Photospace,1,3320910,4
449,Bubblemix,3,1078100,8
450,Flashspan,1,1967807,8
451,Minyx,3,2452697,18
452,Oodoo,3,2147085,18
453,Trunyx,2,1066629,4
454,Muxo,1,3305056,3
455,Yadel,1,1678941,15
456,Edgewire,3,4159016,3
457,Kaymbo,2,4103264,20
458,Wikizz,2,1694579,16
459,Tagcat,2,4611236,7
460,Riffwire,1,3537505,3
461,Twinte,1,4729025,13
462,Kazio,3,555065,2
463,Photojam,1,3224547,6
464,Brainlounge,3,3251067,18
465,Midel,1,4275827,11
466,Omba,2,4085769,11
467,Twitternation,1,2677450,5
468,Skimia,2,3666566,10
469,Topiclounge,1,3257295,14
470,Leenti,3,4242248,15
471,Mydo,3,3377183,6
472,Brightbean,2,614082,4
473,Jatri,2,4207304,4
474,Quimm,2,2781794,5
475,Tazzy,2,2257619,4
476,Topicshots,3,1067646,4
477,Skivee,3,2155833,12
478,Kazio,1,249470,6
479,Jabbercube,2,1425618,4
480,Trudoo,2,3214553,16
481,Buzzshare,2,4535912,1
482,Quire,3,2696501,8
483,Teklist,2,3192557,8
484,Vinte,1,4950814,15
485,Kaymbo,1,1634255,3
486,Npath,3,673124,12
487,Rhycero,3,436164,17
488,Skimia,3,1425135,16
489,Ntag,1,1717745,5
490,Realpoint,2,2629212,5
491,Quatz,1,2932263,2
492,Riffpedia,2,4009562,6
493,Skiptube,1,1505463,5
494,Mita,3,274261,20
495,Skipfire,1,4642716,20
496,Midel,3,901704,12
497,Kwilith,2,1333552,10
498,Skidoo,3,4430449,11
499,Yakitri,2,3797532,7
500,Shufflebeat,1,2458580,6
501,Abata,1,3372219,2
502,Edgeblab,1,2357823,8
503,Fatz,2,578755,17
504,Skipstorm,1,4471144,5
505,Quatz,3,3650325,14
506,Linklinks,2,3781794,9
507,Photojam,2,2602761,6
508,Lazz,1,4368039,4
509,Gigashots,2,2113427,18
510,Voolia,3,2900688,15
511,Gabtune,2,4818108,4
512,Npath,1,4548625,15
513,Zoozzy,3,388330,6
514,Jabberstorm,2,3955630,19
515,Feednation,2,4988546,14
516,DabZ,3,1924338,1
517,Realbuzz,3,1725195,18
518,Realbridge,3,918671,9
519,Skiba,2,3707669,11
520,Voonder,1,646998,3
521,Quinu,3,2079973,15
522,Oyoba,2,2528834,12
523,Wordtune,2,735794,13
524,Layo,1,3446863,13
525,Jabbersphere,3,290655,17
526,Flashdog,2,4365782,14
527,Mynte,3,3376673,20
528,Blogspan,1,1251849,7
529,Skiptube,1,240661,18
530,Yakitri,3,3842252,15
531,Wikido,2,2675594,2
532,Voonyx,2,1855630,11
533,Trilith,2,361661,10
534,Eabox,3,4457793,6
535,Jayo,2,1521366,10
536,Flipbug,1,1731041,12
537,Rhycero,1,1749250,2
538,Jabberbean,2,3878828,5
539,InnoZ,1,66799,10
540,Buzzbean,1,3340424,4
541,Twitterbeat,3,3829029,14
542,Oyope,2,1097456,7
543,Rhynyx,3,4100858,18
544,Skivee,2,1095276,5
545,Oodoo,3,3934348,6
546,Zoomlounge,1,872222,17
547,Digitube,3,2434342,7
548,Photofeed,3,44710,19
549,Babbleset,2,1868234,4
550,Blogtag,2,242696,18
551,Miboo,2,4203056,15
552,Skinte,1,1318733,18
553,Rhybox,3,4103847,11
554,Dablist,2,396889,2
555,Gevee,2,3617586,9
556,Devpulse,2,3773665,12
557,Abata,2,3375973,4
558,Meemm,1,1644801,6
559,Brainbox,3,4533182,7
560,Skynoodle,3,2134903,19
561,Dynava,1,4809682,13
562,Lazzy,2,4308588,4
563,Twitterlist,3,604178,18
564,Vinder,3,3945115,15
565,Wikizz,1,468000,10
566,Devshare,2,1352044,18
567,Aibox,2,2452135,6
568,Mydo,1,3835074,13
569,Skajo,2,1628582,15
570,Shuffledrive,2,3997773,17
571,Shuffletag,2,2887743,14
572,Fanoodle,2,2842493,16
573,Gigashots,2,266102,2
574,Dynazzy,2,421969,8
575,Youopia,1,4885549,15
576,Gigazoom,2,410605,20
577,Feedbug,3,2747911,20
578,Yoveo,2,584986,12
579,Brainsphere,2,1211284,13
580,Skimia,3,3240187,14
581,Youspan,3,887414,17
582,Twinder,3,2054783,3
583,Photospace,1,4108581,3
584,Oyonder,1,4710983,3
585,Jayo,3,4948343,10
586,Realpoint,2,2175230,2
587,Skinix,2,3686450,20
588,Nlounge,2,4380169,18
589,Oodoo,2,408512,10
590,Demimbu,3,2329281,6
591,Aimbo,2,3126565,5
592,Centidel,2,213314,9
593,Babbleset,2,2783299,5
594,Flashdog,3,4688082,7
595,Livetube,1,3510708,1
596,Jetpulse,3,725653,8
597,Gabvine,2,1921214,9
598,Twinte,1,4648829,6
599,Fliptune,2,470156,17
600,Skinix,2,2855319,15
601,Fadeo,2,1183464,17
602,Lazz,2,2162448,10
603,Kaymbo,2,1025379,19
604,Zoomcast,2,570207,6
605,Dabshots,3,1015706,4
606,Quimm,3,2692138,15
607,Midel,3,4805139,11
608,Voolia,1,4895450,4
609,Skipstorm,3,408088,13
610,Photobug,3,2485297,20
611,Realblab,1,2832629,15
612,Devpoint,2,2401632,19
613,Latz,1,918696,7
614,Eidel,1,3510079,13
615,Tazz,2,298030,5
616,Skyble,1,4357598,16
617,Oyoloo,1,2429593,6
618,Twitterbeat,1,2199774,8
619,Skalith,3,3685482,14
620,Twitterwire,2,2378940,3
621,Avamba,2,4037589,20
622,Dynava,2,3498222,10
623,Tagfeed,3,3904138,3
624,Pixope,3,4834171,14
625,Edgeclub,1,4931108,6
626,Dabvine,2,4614347,16
627,Skinte,2,3325022,15
628,Rhynyx,2,511575,2
629,Kanoodle,2,3587949,19
630,Cogilith,1,3619157,2
631,Skipstorm,3,2057327,11
632,Babblestorm,1,3073270,8
633,Centimia,2,1430627,19
634,Dynazzy,1,2681460,6
635,Shuffledrive,3,1779128,14
636,Browsecat,1,343345,12
637,Gevee,1,3997161,16
638,Eamia,2,3794363,5
639,Linkbridge,3,3199179,10
640,Yakidoo,2,3375365,4
641,Skimia,3,735328,12
642,Zoomzone,1,2256681,19
643,Fatz,1,2676482,6
644,Yodel,2,4142129,5
645,Kazio,3,1511818,8
646,Kwideo,1,3511157,6
647,Meejo,3,1128853,18
648,Voonder,3,2833943,3
649,Voomm,3,810733,15
650,Skyba,1,4578771,7
651,Yabox,3,4980754,3
652,Wikivu,1,4563468,17
653,Innotype,1,1176500,1
654,Kamba,1,771738,6
655,Skimia,3,326120,13
656,Rhycero,2,2643670,5
657,Zoombox,3,4537018,11
658,Flashdog,1,334211,13
659,Bubbletube,1,2696352,8
660,Ainyx,1,460611,17
661,Oba,3,2220771,8
662,Leexo,1,1415342,20
663,Cogilith,3,2540006,14
664,Innojam,3,4432561,10
665,Wikizz,2,1982426,11
666,Divanoodle,1,2690277,15
667,Eamia,2,4573217,8
668,Jetwire,2,4413395,4
669,Eire,1,2959276,17
670,Oyonder,3,3809978,20
671,Leexo,3,411184,12
672,Eabox,1,2020182,13
673,Vimbo,2,3982475,15
674,Voolia,3,2526291,14
675,Jabbertype,2,2714705,6
676,Yabox,3,1804502,4
677,Bubblemix,3,2905925,19
678,Mydo,1,1415866,15
679,Janyx,3,1069720,3
680,Thoughtsphere,3,1093289,15
681,Twimm,1,1695115,9
682,Brightbean,2,716628,9
683,Twinte,3,4663739,18
684,Brightdog,3,2747095,2
685,Buzzshare,1,3908788,9
686,Brainverse,1,1748242,10
687,Brainverse,2,4922918,15
688,Jabbertype,3,2426575,17
689,Skilith,3,377867,16
690,Gabtype,3,3367698,9
691,Jabberstorm,3,1990493,5
692,Edgetag,1,3243020,17
693,Teklist,2,4920329,16
694,Zoonder,3,1680972,5
695,Linktype,1,169258,16
696,Camido,3,3195769,18
697,Meembee,3,3267173,4
698,Linklinks,1,2742645,18
699,Brightbean,1,2733212,5
700,Wordify,3,2029596,10
701,Skilith,2,458753,5
702,Browsetype,2,2318229,4
703,Twimm,3,2434305,8
704,Einti,2,131428,6
705,Gigaclub,1,3283231,2
706,Linklinks,1,4031273,8
707,Eimbee,2,1147099,18
708,Jabbertype,2,3252876,18
709,Shuffledrive,2,475997,11
710,Photofeed,2,3275893,12
711,Tagopia,2,3861742,18
712,Meeveo,1,384125,19
713,Voonix,2,1017209,11
714,Eabox,3,2040313,5
715,Fivechat,2,3201017,4
716,Centimia,3,4686623,20
717,Eamia,1,295169,12
718,Fiveclub,1,2911899,4
719,Quatz,2,2450571,17
720,Meemm,3,1602851,3
721,Zazio,2,4293138,16
722,Reallinks,3,2218952,4
723,Fatz,2,1920303,18
724,Skaboo,3,716533,6
725,Realbuzz,3,2323350,5
726,Skibox,1,2824897,2
727,Abatz,1,4942624,3
728,Eabox,2,1220372,16
729,Linklinks,2,1363664,12
730,Fivebridge,1,462934,9
731,Babblestorm,3,527323,4
732,Trilia,3,4456160,8
733,Yakitri,2,1562597,2
734,Dabfeed,1,2011438,6
735,Kwideo,1,4340252,6
736,Wordpedia,2,4495842,8
737,Trilith,2,1552839,16
738,Eidel,3,4521434,5
739,Flashpoint,3,2985040,18
740,Babbleset,3,2187196,3
741,Oyondu,3,945009,13
742,Skiptube,3,3183755,19
743,JumpXS,1,4845317,19
744,Demivee,1,2204005,2
745,Demimbu,1,3914757,5
746,Digitube,1,3386594,2
747,Demimbu,2,3280846,10
748,Blogtags,2,4835646,19
749,Meezzy,1,2762923,15
750,Babbleopia,2,3627550,12
751,Yotz,2,4389341,19
752,Oloo,3,3121971,1
753,Tambee,2,3482267,12
754,Skilith,3,229275,13
755,Photolist,3,2950413,17
756,Zoovu,3,4358520,20
757,Oodoo,1,1226307,19
758,Twitterlist,1,1993124,4
759,Brainlounge,2,3775260,7
760,Voonyx,3,212608,19
761,Eidel,3,3054526,16
762,Tagtune,2,2310855,20
763,Devify,1,4267020,2
764,Lazzy,2,2205451,8
765,Skyble,1,3548069,4
766,BlogXS,3,2347947,5
767,Roombo,2,2407939,14
768,Vitz,1,3629354,16
769,Browsedrive,1,403229,12
770,Riffpath,3,1591689,20
771,Zoozzy,1,89593,11
772,Edgeclub,1,4633696,12
773,Talane,2,1764354,2
774,Photospace,2,1701275,5
775,Youopia,1,2740597,5
776,Layo,2,455615,15
777,Skyndu,2,19106,6
778,Tagpad,3,612021,15
779,Flashdog,1,4867682,12
780,Ooba,1,4733698,12
781,Wikizz,1,93591,7
782,Kamba,3,909747,8
783,Thoughtblab,2,3586380,6
784,Blogpad,1,2645375,7
785,InnoZ,2,1420866,20
786,Quire,1,1952877,6
787,Jabbersphere,2,4578675,9
788,Jabberstorm,1,2589286,16
789,Livetube,2,2598045,17
790,Lazz,2,4038231,8
791,Shufflebeat,2,1557754,8
792,Dabfeed,1,3026218,20
793,Vimbo,2,2240025,14
794,Fivebridge,1,4945022,18
795,Agivu,2,527439,16
796,Jabberbean,2,2166561,16
797,Tagcat,1,3004625,13
798,Aibox,2,1698904,8
799,Jaloo,2,1917856,15
800,Flipbug,2,4977647,18
801,Fatz,3,3021885,19
802,Skynoodle,3,4001300,14
803,Skyndu,3,35588,19
804,Thoughtstorm,2,596277,7
805,Bluejam,3,1470279,20
806,Minyx,1,3186723,16
807,Photojam,2,381000,2
808,Fivebridge,2,2368986,12
809,Plajo,2,3909077,20
810,Babbleset,2,4961663,8
811,Quamba,2,853440,15
812,Wordify,2,3348408,10
813,Ooba,2,1213792,17
814,Mydeo,2,3424394,10
815,Livetube,3,749075,7
816,Flashdog,1,829923,15
817,Youfeed,3,1655275,8
818,Shufflester,2,2162748,4
819,Oyoba,1,3351830,15
820,Feednation,1,1849018,14
821,Dynabox,3,2954945,13
822,Jaxspan,2,2404740,20
823,Fivebridge,2,3597364,11
824,Quamba,3,189664,2
825,Tazzy,2,1521191,17
826,Katz,1,4595187,3
827,Mynte,3,2554908,16
828,JumpXS,3,304076,4
829,Browsebug,1,2560491,13
830,Devbug,2,4974834,5
831,Riffpedia,1,1736374,12
832,Babblestorm,2,4553741,18
833,Brainbox,3,374597,17
834,Centimia,3,1571563,16
835,Centidel,2,3735083,17
836,BlogXS,1,2711527,9
837,Roodel,2,434514,15
838,Gabvine,3,1454793,10
839,Youopia,1,3452974,1
840,Gigabox,1,4183569,13
841,Meedoo,3,1478418,18
842,Jetwire,1,1811930,8
843,Eabox,1,3149602,8
844,Fadeo,2,2569441,13
845,Jabberbean,3,581889,18
846,Layo,1,4947607,2
847,Miboo,1,2042419,2
848,Twitternation,2,4737997,9
849,Realblab,2,1875098,8
850,Photobug,3,4926130,18
851,Aimbo,2,2814235,3
852,Yacero,1,1634735,11
853,Jabbercube,2,179212,3
854,Oozz,3,2931339,14
855,Latz,3,4024731,10
856,Twimbo,2,2979189,4
857,Meevee,2,164448,6
858,Avavee,1,1604456,11
859,Riffpath,2,998540,4
860,Eare,3,1296102,12
861,Flashpoint,1,2374559,20
862,Mynte,2,2371175,16
863,Trudoo,3,1755607,1
864,DabZ,3,3881498,12
865,Lajo,1,574618,1
866,Zoombeat,2,2293777,4
867,Babblestorm,1,3904263,12
868,Teklist,3,4468237,4
869,Livepath,3,3896716,10
870,Podcat,2,1937949,19
871,Minyx,1,3510582,4
872,Realpoint,3,3478216,15
873,Brainlounge,3,1996536,4
874,Yacero,3,921804,6
875,Katz,3,1635419,6
876,Thoughtbridge,3,982669,19
877,Zoomdog,3,3193213,11
878,Edgeblab,3,231093,14
879,Meetz,2,1007332,6
880,Bubblemix,3,1180120,18
881,Omba,1,4570287,5
882,Quatz,3,4277395,19
883,InnoZ,2,4367425,5
884,Fadeo,3,2831985,4
885,Centidel,1,4025293,10
886,Photobug,3,37359,3
887,Devpoint,3,1940223,3
888,Innojam,2,1631070,7
889,Zoonoodle,1,1341308,9
890,JumpXS,3,4104538,3
891,Thoughtworks,2,4614166,4
892,Centizu,3,4952560,12
893,Bubbletube,3,1325132,3
894,Trilith,2,2155233,10
895,Aimbu,2,2347157,3
896,Jaxnation,3,4361120,4
